Time	time-
Hour	-hour
Crosswinds	cross-winds
Switch-back	switchback
Microinjection	micro-injection
Videoconferencing	video-conferencing
Sugarloaf	sugar-loaf
Nonporous	non-porous
Storytelling	story-telling
Sea-grass	seagrass
Daytime	day-time
Primetime	prime-time
Deadpan	dead-pan
Counterprotest	counter-protest
F-16s	F16s
Shutdown	shut-down
Bimonthly	bi-monthly
Runoff	Run-off
Breakout	break-out
Coreligionists	co-religionists
Countercyclical	counter-cyclical
Multimodal	multi-modal
Handgun	hand-gun
Handgrenade	hand-grenade
Oncourt	on-court
ER2	ER-2
Goodlooking	Good-looking
Bookselling	book-selling
Ceasefire	cease-fire
Chokehold	choke-hold
Tiebreaker	tie-breaker
Drawingrooms	drawing-rooms
Sea-port	Seaport
Counter-intelligence	counterintelligence
Grass-roots	grassroots
F-250	F250
Wheellock	wheel-lock
People	peo-ple
Sugarcane	sugar-cane
Tracksuits	track-suits
S-TEC	STEC
Walkthrough	walk-through
Twinblade	twin-blade
Pseudohistory	pseudo-history
Slowdown	slow-down
Louis-Dreyfus	LouisDreyfus
Boombox	boom-box
Mas-ha	Masha
Look-alike	lookalike
Airline	air-line
Counterexample	counter-example
Reinvention	re-invention
Gray-hairs	grayhairs
Huge	-huge
Mid-range	midrange
Aline	A-line
Extraordinary	extra-ordinary
Hardcover	hard-cover
Ratatat	rat-a-tat
Penny-saver	Pennysaver
Cotton	cotton-
Class	-class
Richman	rich-man
Speakeasy	speak-easy
Goodhumored	good-humored
Loudspeaker	loud-speaker
Old-timer	oldtimer
Silverplate	silver-plate
Off-load	offload
Mile	-mile
Dday	D-day
Alex-	Alex
Deleveraging	de-leveraging
Submachinegun	submachine-gun
Diskless	Disk-less
Anti-war	antiwar
Hodge-podge	hodgepodge
PAI1	PAI-1
Wellhead	well-head
Shantytown	shanty-town
Overdone	over-done
Devilmaycare	devil-may-care
Deadstick	dead-stick
Sex	sex-
Takeoff	take-off
Accepted	-accepted
Fruittrees	fruit-trees
Ninetynine	Ninety-nine
Socalled	So-called
Fairplay	fair-play
Prod	prod-
Opensystem	Open-system
Hellbent	hell-bent
Street-corners	streetcorners
Sunroof	sun-roof
Cut-out	cutout
Break-ups	breakups
Shortsighted	short-sighted
Midweek	mid-week
FAMAS	FA-MAS
Pick	pick-
Proslavery	pro-slavery
Cooperative	co-operative
C91	C-91
Tell-tale	Telltale
Buy	buy-
-mania	Mania
Service	Ser-vice
Microbrewery	micro-brewery
C47	C-47
Selfevident	self-evident
Income	income-
Supercritical	super-critical
C23	C-23
C20	C-20
Reengineering	re-engineering
W69	W-69
Six	six-
Collegeboard	college-board
Evildoers	evil-doers
Un-balanced	Unbalanced
Aria	-aria
Chi-li	Chili
Windblast	wind-blast
Gamesaving	game-saving
Instanton	instant-on
Layaway	lay-away
Nano-	Nano
Housecleaning	house-cleaning
Lookdown	look-down
Cooperation	co-operation
Crimson	crimson-
Watchdog	watch-dog
Turnover	turn-over
Shangrila	Shangri-la
W79	W-79
W88	W-88
I-DEAS	IDEAS
Tai-pan	Taipan
Showcase	show-case
Waterlogged	water-logged
C17	C-17
EV3	EV-3
Goodhumoured	good-humoured
Sketchbook	sketch-book
MiniMetro	Mini-Metro
Reentry	re-entry
WII	W-II
Gunboat	gun-boat
Majordomo	major-domo
Cowtown	cow-town
Jackknife	jack-knife
Cooperation	Co-operation
Seasick	sea-sick
AT-L	ATL
AT-T	ATT
Electrowinning	electro-winning
Multi-million	multimillion-
Multimillion	multimillion-
Nonmarket	non-market
Leasehold	-leasehold
Rollout	roll-out
Non	non-
Offscreen	off-screen
T1000	T-1000
A-A-P	AAP
Sea-power	Seapower
AA-2	AA2
Reentry	Re-entry
AC-4	AC4
Sound-alike	soundalike
Chan	chan-
A-D-N	ADN
S-cam	scam
Cooperative	Co-operative
Type	-type
Prearrange	pre-arrange
Volteface	volte-face
Off-shore	offshore
Election	elec-tion
A-23	A23
Data	data-
Buydown	buy-down
Wintertime	Winter-time
Inter-generational	Intergenerational
Darkhorse	dark-horse
Milliondollar	million-dollar
Sunglasses	sun-glasses
Wrongdoing	wrong-doing
A-52	A52
Testtube	test-tube
Furball	fur-ball
New-found	newfound
AFL-CIO	AFLCIO
Eyeopener	eye-opener
Copkiller	cop-killer
Risktakers	risk-takers
Absentminded	absent-minded
Newfound	new-found
Rocksteady	rock-steady
Over-rule	overrule
Yellow-tail	Yellowtail
Wood	wood-
Stern-wheel	Sternwheel
Seaside	sea-side
Drivein	drive-in
Papermill	paper-mill
Toehold	toe-hold
Grownup	grown-up
Bio-diversity	biodiversity
Concerto	Con-certo
Volleyball	volley-ball
Whitelead	white-lead
Antifascism	anti-fascism
Metalworking	metal-working
Postimpressionists	post-impressionists
Sea	sea-
Airbag	air-bag
State	state-
Shoemaking	shoe-making
Gangbusters	gang-busters
Procapitalist	pro-capitalist
More	-more
Minicomputer	mini-computer
Antiscience	anti-science
Chinstrap	chin-strap
Bicoastal	bi-coastal
Payoff	pay-off
VH1	VH-1
Nicotine	nicotine-
Ser	ser-
T28	T-28
Precondition	pre-condition
T34	T-34
Non-intervention	Nonintervention
T46	T-46
T45	T-45
T54	T-54
Oneword	one-word
T53	T-53
Direction	direc-tion
Blackout	black-out
Freeriding	free-riding
Bowlegged	bow-legged
Outsourcing	out-sourcing
Showbiz	show-biz
Dropout	drop-out
Targets	tar-gets
Tripwire	trip-wire
Metalworking	Metal-working
Aircraft	air-craft
Massmarket	Mass-market
Uphill	up-hill
Streetfighter	street-fighter
Un-ethical	Unethical
Ragtag	rag-tag
Proofreading	proof-reading
Taskforce	task-force
Warmonger	war-monger
High-rise	highrise
Wannabes	wanna-bes
Stock	stock-
Traffic	traffic-
TG1	TG-1
G-II	GII
Makeover	make-over
Type-writers	typewriters
Fairytales	Fairy-tales
Hatchback	hatch-back
Street-corner	streetcorner
You	-you
Peace-keeping	Peacekeeping
Papermaking	paper-making
Re-married	remarried
Openfire	open-fire
Re-marries	remarries
Under-consumption	underconsumption
Type-writers	Typewriters
JournalNews	Journal-News
Tiltrotor	tilt-rotor
Newcity	new-city
FP-C	FPC
G-15	G15
Accord	Accord-
RAI2	RAI-2
RAI1	RAI-1
Subhuman	sub-human
Grassroots	Grass-roots
Experiment-s	Experiments
TF1	TF-1
Skybox	sky-box
Deepwater	deep-water
B-757	B757
Tony	Tony-
Rollerblade	roller-blade
S-cam	Scam
Drivein	Drive-in
Breakthrough	break-through
H-E-B	HEB
Database	data-base
Laptop	lap-top
Ingroup	in-group
Postgraduates	post-graduates
Watchtower	watch-tower
Sea-port	seaport
Wannabe	wanna-be
Heartrendingly	heart-rendingly
Readymades	ready-mades
Basket-weave	basketweave
Northside	north-side
Dog-sled	dogsled
Roller-skating	rollerskating
Eggshell	egg-shell
Arrow-head	arrowhead
Postbus	post-bus
Crosspollination	cross-pollination
IL-2	IL2
Bi-monthly	bimonthly
Downtown	down-town
Lala	la-la
Bi-racial	biracial
Who	-who
Freeform	free-form
Appreciation	apprecia-tion
Relay	re-lay
Bitesize	bite-size
Deepfrozen	deep-frozen
Spring	spring-
Drawdown	draw-down
Fortyfive	forty-five
Twohanded	two-handed
Freshwater	Fresh-water
Onedimensionally	One-dimensionally
Snapback	snap-back
Tinderbox	tinder-box
Farmworker	farm-worker
-ing	Ing
-ine	Ine
Bio-diversity	Biodiversity
Tearstained	tear-stained
JN-4	JN4
Chainsaw	chain-saw
Good	G-o-o-d
Facedown	face-down
Down	down-
Rebranding	re-branding
Rollup	Roll-up
Plutonium	plutonium-
Milliondollar	Million-dollar
Last	-last
Pist-on	piston
Be-har	Behar
Remix	re-mix
X-tra	Xtra
Handmade	hand-made
Necessary	neces-sary
Breastfed	breast-fed
-hou	Hou
A-ra	Ara
Photorealism	photo-realism
Petro-	Petro
Dissaving	dis-saving
Strong	strong-
A-PAC	APAC
Very	-very
Longplay	long-play
CD-5	CD5
Upfront	up-front
Out	out-
Faultlines	fault-lines
A-do	Ado
A-ga	Aga
Toolbox	tool-box
Setpiece	set-piece
Small	small-
Highschool	High-school
Work-weeks	workweeks
Overbooking	over-booking
Workforce	work-force
Ultra-nationalist	ultranationalist
-ane	Ane
Non-sequiturs	nonsequiturs
Willpower	will-power
But-	But
Euroscepticism	Euro-scepticism
Candy	Can-dy
Realtime	Real-time
Shootout	Shoot-out
Flyby	fly-by
D-A-D	DAD
Allornothing	all-or-nothing
Hook-billed	hookbilled
AllStar	All-Star
P51	P-51
Peacekeeping	Peace-keeping
Petrodollar	petro-dollar
Loud-speaker	loudspeaker
CD-R	CDR
CD-i	CDi
Reediting	re-editing
Bio-	Bio
4by5	4-by-5
C-I-A	CIA
Arch-enemy	archenemy
Fur-bearers	Furbearers
C-P-C	CPC
Flood-lights	floodlights
CS-2	CS2
Hoopla	hoop-la
Postmortem	post-mortem
G-CSF	GCSF
DX-4	DX4
Girlfriend	girl-friend
Shootdown	shoot-down
Southeast	South-east
Mortgage-backed	mortgagebacked
Hi-jacked	hijacked
EF-G	EFG
Rearrangement	re-arrangement
Medigap	Medi-gap
Poppyseed	poppy-seed
Socalled	so-called
Fieldstone	field-stone
Redmeat	red-meat
Middleaged	Middle-aged
Scientific-Atlanta	ScientificAtlanta
Bus-loads	busloads
Launchpad	launch-pad
Rollbar	roll-bar
Shorthand	short-hand
De-leverage	deleverage
Tinder-box	tinderbox
Inter-governmental	Intergovernmental
Clarity	-clarity
DR-2	DR2
Turnabout	turn-about
Fundraiser	fund-raiser
Shelflife	shelf-life
FTSE	FT-SE
Sun-stroke	sunstroke
Reusability	re-usability
Eco-	Eco
Drams	D-rams
Pacesetter	pace-setter
Public	public-
Redlight	red-light
Slowpoke	slow-poke
PFLPGC	PFLP-GC
Standalone	stand-alone
Nosedive	nose-dive
Rentseeking	rent-seeking
Ferronickel	ferro-nickel
-mania	mania
Instore	in-store
Currency	curr-ency
Wrong-headed	wrongheaded
1960s	1960s-
Leapfrog	leap-frog
Velo-city	Velocity
Life	life-
Potpourri	pot-pourri
Carryover	carry-over
Sing-alongs	singalongs
Sterndrive	stern-drive
Lodgepole	lodge-pole
Mini-skirt	miniskirt
Postrevolutionary	post-revolutionary
Headfirst	head-first
Confidentiality	confidential-ity
OR-E	ORE
Handout	hand-out
Lifeblood	life-blood
Nor-	Nor
Come	-come
Microcassette	micro-cassette
Quickfire	quick-fire
Wheelspin	wheel-spin
Air-time	airtime
Pass-port	passport
Sterling	ster-ling
Prepayment	pre-payment
In-house	inhouse
Greenup	Green-up
Hyperinflation	hyper-inflation
Gill-man	Gillman
Asset	asset-
Knockout	knock-out
Rangefinder	range-finder
Anticonvulsant	anti-convulsant
Oil	oil-
Widescreen	Wide-screen
-one	One
November	Novem-ber
Work-week	workweek
Countrywide	country-wide
Sidelines	side-lines
Speed-ball	speedball
Lovestruck	love-struck
Farreaching	far-reaching
Troubleshoot	trouble-shoot
Scriptwriting	script-writing
Freebasing	free-basing
Above-board	aboveboard
Ear-shot	earshot
Realities	-realities
Postmodernism	post-modernism
Shipbroking	ship-broking
Small-town	smalltown
Every-time	everytime
Whitewash	white-wash
Guideposts	guide-posts
Overwintering	over-wintering
Remade	re-made
Airdrop	air-drop
Agro-	agro
R-33	R33
Post-war	postwar
Third	third-
Paramilitary	para-military
Bell-wethers	bellwethers
Demerger	De-merger
Auntie	Aunt-ie
Currently	-currently
Reuse	re-use
Fant-asia	fantasia
Ninetenths	nine-tenths
Flood-lights	Floodlights
SCN-	SCN
Non-financial	Nonfinancial
So-called	socalled
Re-union	reunion
Counter-demonstrations	counterdemonstrations
Book-men	bookmen
Writeup	write-up
Multi-dimensional	multidimensional
Piecemeal	piece-meal
Sun4	Sun-4
Aftershave	after-shave
Fantasy	fantasy-
RV-C	RVC
Is-a	Isa
Nonstop	non-stop
Tragicomedy	tragi-comedy
Righthanders	right-handers
Projection	pro-jection
Backup	back-up
Workstation	work-station
Selfrighteousness	self-righteousness
Heliskiing	heli-skiing
Rerun	re-run
Peachpit	peach-pit
Reexamination	re-examination
Coordination	Co-ordination
Re-marry	remarry
Shootout	shoot-out
Seagrass	sea-grass
MK801	MK-801
Over-rules	Overrules
Sky-scrapers	skyscrapers
Antimatter	anti-matter
Microelectronics	micro-electronics
Fire-fighter	firefighter
Type-setting	typesetting
Boulder	boulder-
Doublethink	double-think
Selfgratification	self-gratification
Highstreet	high-street
Jo-e	Joe
Subtext	sub-text
Diamond-back	diamondback
-one	one-
Middleage	middle-age
Loud-speakers	loudspeakers
L-85	L85
Winnington	Winnington-
Reinsurance	re-insurance
Mig29	Mig-29
Razorblade	razor-blade
Name-dropping	namedropping
Coop	co-op
Justwar	Just-war
LE-7	LE7
Urine	urine-
Copywriting	copy-writing
Slashandburn	Slash-and-burn
K-os	Kos
Kos-	Kos
Reset	re-set
Pussycat	pussy-cat
Land-locked	Landlocked
Bell-wether	bellwether
LoJack	Lo-Jack
Monk-fish	Monkfish
Derating	de-rating
Nextstep	next-step
De-militarized	Demilitarized
Meltdown	melt-down
Smash	smash-
Revolutionary	Rev-olutionary
Firstborn	first-born
Pre-conditioning	preconditioning
Super-heroes	Superheroes
Lychgate	lych-gate
Warpath	war-path
9Live	9-Live
Antihypertensive	anti-hypertensive
Ceasefire	Cease-fire
Riverscape	river-scape
Hardliner	hard-liner
Metal	metal-
Babydoll	baby-doll
Western	West-ern
Tax	tax-
Nor	Nor-
Striptease	strip-tease
Onoff	on-off
MC-S	MCS
L-100	L100
Dropdead	drop-dead
Note-books	notebooks
Coldwater	cold-water
MI-6	MI6
MI-5	MI5
MX-6	MX6
GM1	GM-1
U-N-I-T-E-D	UNITED
G-LOC	GLOC
M-U-M	MUM
MS-X	MSX
InterCity	Inter-City
Good-faith	goodfaith
Database	Data-base
Re-examine	reexamine
MR-C	MRC
Codevelopment	co-development
Onehouse	one-house
Bell-ringer	bellringer
Coaxial	co-axial
H60	H-60
Flatbed	flat-bed
Reprocessing	re-processing
Multichannel	multi-channel
Nonpartisan	non-partisan
Telltale	Tell-tale
Gasoil	gas-oil
Shakeout	shake-out
Old	old-
Moon-light	Moonlight
Shockwave	shock-wave
Nonsense	non-sense
Seventh	seventh-
Brainchild	brain-child
Cat	c-a-t
Ya-ya	Yaya
Spellbound	spell-bound
Trijet	tri-jet
Aware	Aw-are
KIII	K-III
Tongue-in-cheek	tongue-incheek
G-range	Grange
Deindustrialization	de-industrialization
Retraining	re-training
Wastewater	waste-water
Di-rect	Direct
Direc-t	Direct
Runner-up	runnerup
Nonbusiness	non-business
Hydramatic	Hydra-matic
H25	H-25
Semicircular	semi-circular
Hai-nan	Hainan
Y-O-U	YOU
Cliffside	cliff-side
Catch-all	catchall
Re-marrying	remarrying
Antipsychotic	anti-psychotic
Tai-pan	taipan
-stan	Stan
Singleminded	single-minded
Foolproof	Fool-proof
Pushbutton	push-button
Sky-jacking	skyjacking
WYLD-FM	WYLDFM
FK-506	FK506
FTA	FT-A
Re-echoing	reechoing
Cross-checking	crosschecking
Re-creation	recreation
Changeup	change-up
Water-melon	watermelon
Cutoff	Cut-off
Riverside	river-side
Poolside	pool-side
XR-2	XR2
Re-cycle	Recycle
Re-marriage	remarriage
Y-12	Y12
Post	post-
Opto-electronics	Optoelectronics
Step-fathers	stepfathers
Standby	stand-by
ZMODEM	Z-MODEM
Deer-skins	deerskins
Onetwo	one-two
How	-how
Righthand	right-hand
Super-man	Superman
Overvaluation	over-valuation
Counter-insurgency	counterinsurgency
Sansabelt	Sans-a-belt
Hopscotch	hop-scotch
Non-democratic	nondemocratic
Noncoms	non-coms
X-25	X25
Redirect	re-direct
Antinational	anti-national
Remortgage	re-mortgage
Turnaround	turn-around
Secretary	secretary-
X-12	X12
Nonviolence	Non-violence
Wideopen	wide-open
Part	part-
Checkoff	check-off
Mahjong	mah-jong
Shortline	short-line
Upcycle	up-cycle
Tea	tea-
Had	-had
Has	-has
Forecasting	fore-casting
Fortyfive	Forty-five
Midpoint	mid-point
Covariance	co-variance
AV8B	AV-8B
SoHo	So-Ho
For	-for
Postdated	Post-dated
Oneworld	one-world
Bloodstained	Blood-stained
Crossfire	cross-fire
Tortoise-shell	tortoiseshell
Selfsacrificing	self-sacrificing
Throwback	throw-back
Par	par-
Dimestore	dime-store
Narcoterrorism	narco-terrorism
XMODEM	X-MODEM
Fourth	fourth-
Backchannel	back-channel
Ripoff	rip-off
Euro	Euro-
Gang	gang-
Hotwired	hot-wired
HaIr	Ha-Ir
Techno-thriller	technothriller
Well-known	wellknown
Counteroffensive	counter-offensive
Mindreader	mind-reader
Radioshow	radio-show
Twofour	two-four
Taxiing	taxi-ing
U-D-R	UDR
Left	left-
Rejoins	re-joins
European	Euro-pean
Bimetallic	bi-metallic
Hot-house	hothouse
Prayer-book	prayerbook
Not	-not
Now	-now
Moonlanding	moon-landing
Cockahoop	cock-a-hoop
Homecomers	home-comers
Broadband	broad-band
Pretest	pre-test
Delayering	de-layering
Sabretooth	sabre-tooth
Low	-low
Honeycomb	honey-comb
Skyline	sky-line
Mail	mail-
Altar-piece	altarpiece
Greyhaired	grey-haired
Close-up	Closeup
S-II	SII
Hemen	he-men
Moon-light	moonlight
S-IB	SIB
S-IC	SIC
Apeman	ape-man
S-IV	SIV
Railcar	rail-car
SL-1	SL1
Over-the-counter	over-thecounter
Frontrunner	front-runner
Strongarm	strong-arm
Preprofessional	pre-professional
Look	-look
SP-A	SPA
Testtube	Test-tube
Snakeoil	snake-oil
Tone-gawa	Tonegawa
Voicemail	voice-mail
S-L-M	SLM
Grand-	grand
Ecotax	eco-tax
S-OB	SOB
Bankruptcy	bank-ruptcy
Sound-tracks	soundtracks
Clockwork	clock-work
Bedsit	bed-sit
Whistleblower	whistle-blower
Over-populated	overpopulated
Fundraising	Fund-raising
Senwosret	Sen-wosret
Great-	great
Timeshifting	time-shifting
Peacekeeping	peace-keeping
AC1	AC-1
Turnout	turn-out
Hypersensitivity	hyper-sensitivity
Pol-ka	polka
Reunited	re-united
Lowball	low-ball
Mudbrick	mud-brick
PC98	PC-98
PerkinElmer	Perkin-Elmer
Hangover	hang-over
U-n-i	Uni
FTS2000	FTS-2000
Re-ac-tor	reactor
Let	-let
Subplot	sub-plot
Override	over-ride
Bus-loads	Busloads
Southeast	south-east
Month	-month
Lin	-lin
Jib-sheet	Jibsheet
Liftoff	lift-off
E-toile	Etoile
Bowtie	bow-tie
Bare-knuckle	bareknuckle
Battleground	battle-ground
Dayshift	day-shift
Graymail	gray-mail
Speechwriters	speech-writers
Stormforce	storm-force
Re-wind	rewind
Rock	rock-
Fullblown	full-blown
Dogooder	do-gooder
Lameduck	Lame-duck
Lonewolf	lone-wolf
Selfrighteous	self-righteous
Re-transmissions	retransmissions
Instore	In-store
To-y	Toy
FSX	FS-X
Carry-out	carryout
Selfreliance	self-reliance
Lookalike	look-alike
Sawmill	saw-mill
Top	top-
Story-tellers	Storytellers
Horse	horse-
Hardcore	Hard-core
Dugout	dug-out
Subjectmatter	subject-matter
Doublehanded	double-handed
Test-bed	Testbed
CableTV	cable-TV
Tragi-comedy	tragicomedy
Unemployment	Unem-ployment
Teahouses	tea-houses
Winemaking	wine-making
Rewiring	re-wiring
Bulls-eye	bullseye
Radioactive	radio-active
AMR	AM-R
BGM	B-GM
Sendup	send-up
Rebuild	re-build
Clean-up	cleanup
Di-rect	direct
Direc-t	direct
Aboveboard	above-board
Hsin-chu	Hsinchu
Rematch	re-match
Putdowns	put-downs
Matchmaking	match-making
B61	B-61
Soft	soft-
B83	B-83
Endpoint	end-point
Balloon	bal-loon
Evidence	-evidence
Bio-	bio
Freelancer	Free-lancer
Slingshot	sling-shot
Re-recording	rerecording
Frameup	frame-up
Autobody	auto-body
Incoming	in-coming
Alacarte	a-la-carte
EC135	EC-135
Codesharing	code-sharing
Crack	crack-
South-East	SouthEast
Back-fire	backfire
Granddaddy	grand-daddy
Remarry	re-marry
Overproduction	over-production
Fiveyear	five-year
Sidestep	side-step
Dug-outs	dugouts
Pull-back	pullback
Purebred	pure-bred
Oper	oper-
S-ino	Sino
But-	but
Midsummer	mid-summer
Freestyle	free-style
RPIX	RPI-X
Boyfriend	boy-friend
E-mail	Email
Crossmember	cross-member
Red-baiting	redbaiting
Superstocks	super-stocks
Preannouncement	pre-announcement
-ane	ane
Yesterday	yester-day
Powerplant	power-plant
Couchpotato	couch-potato
Nonstop	Non-stop
Yesterday	yes-terday
A-do	ado
Like	-like
Autotransfusion	Auto-transfusion
Tent-like	tentlike
Swallow-wort	swallowwort
Barclaycard	Barclay-card
Desanctified	de-sanctified
Pow-wow	Powwow
Tabletop	table-top
Morning-star	Morningstar
A-ra	ara
Prepaid	pre-paid
Self-help	selfhelp
MRPII	MRP-II
Back-fire	Backfire
Pricefixing	price-fixing
Headstrong	head-strong
Sub-caste	subcaste
Mini-supercomputer	minisupercomputer
Semi-finished	semifinished
Front-runner	frontrunner
Was	-was
Nonwhite	Non-white
Super-hero	superhero
Linestanding	line-standing
Super-heroes	superheroes
Stargazing	star-gazing
X-ray	Xray
Backcountry	back-country
Deathbed	death-bed
Waterbed	water-bed
Boi-ngo	Boingo
Intergovernmental	inter-governmental
Under-rating	Underrating
Farmland	Farm-land
Sub-division	subdivision
5HT	5-HT
Pastoral	past-oral
5FU	5-FU
Shan-tung	shantung
AH1	AH-1
Seedcorn	seed-corn
Walleye	wall-eye
Motherboard	mother-board
Partyline	party-line
Far	far-
Houses	-houses
Money-changers	moneychangers
Highwire	high-wire
Feedlot	feed-lot
Blow-fly	blowfly
ScotRail	Scot-Rail
Assetmanagement	asset-management
Management	manage-ment
Midway	mid-way
Lightrail	light-rail
Buyout	Buy-out
Five-year	fiveyear
Prearranged	pre-arranged
Cockfight	cock-fight
Freeborn	free-born
B47	B-47
B17	B-17
Pageone	page-one
Retread	re-tread
Oring	O-ring
B29	B-29
B25	B-25
B24	B-24
AK-47	AK47
Bombsquad	bomb-squad
Hardball	hard-ball
Worldwide	world-wide
Biotechnology	bio-technology
Threefoot	three-foot
Threefold	three-fold
Northeast	north-east
Waterskiing	water-skiing
Trijet	Tri-jet
Asset-backed	assetbacked
Lookout	look-out
Airstrike	air-strike
T-ray	tray
Nini	ni-ni
Buildout	build-out
Single-minded	singleminded
Riverboat	river-boat
T-rio	trio
Reunion	re-union
Subcontractor	sub-contractor
Blackbuck	black-buck
Starstruck	star-struck
Pitbull	pit-bull
Runner-up	Runnerup
Development	develop-ment
Supranational	supra-national
Lessthan	less-than-
Tram-cars	tramcars
Diego	Diego-
Chickpea	chick-pea
Superfast	super-fast
Cook-off	cookoff
Woodworking	wood-working
Especially	-especially
Openbank	open-bank
Coordinator	co-ordinator
Type-written	typewritten
A-line	Aline
National	nat-ional
Snow-shoe	snowshoe
Work-shops	workshops
Kilo-	kilo
Biotechnology	Bio-technology
Far-right-wing	far-rightwing
S-CORE	SCORE
Re-align	realign
EuroDisney	Euro-Disney
A-bian	Abian
There	-there
Cooler	cooler-
Subspecies	sub-species
Reinvigorate	re-invigorate
Folkhero	folk-hero
Sexhormone	sex-hormone
Pickup	pick-up
Godchild	god-child
Supermajority	super-majority
Pre	pre-
Subculture	sub-culture
-ism	ism
I10	I-10
Backwater	back-water
-scope	Scope
Off-site	offsite
Megayacht	mega-yacht
Futures	fut-ures
Prop-	prop
Blowup	blow-up
Electromechanical	electro-mechanical
Non-fiction	nonfiction
Backend	back-end
Rocketship	rocket-ship
Clotheshorses	clothes-horses
Primetime	Prime-time
Lockout	lock-out
Push	push-
King	King-
Will	-will
Brokenhearted	broken-hearted
Aftermarket	after-market
Batwing	bat-wing
Pre-arrangement	prearrangement
Geothermal	geo-thermal
Different	dif-ferent
M1A1	M-1A1
Bigwigs	big-wigs
Backtesting	Back-testing
Book-keeper	bookkeeper
Longrun	long-run
Blue-blood	blueblood
Sea-walls	seawalls
Sea-power	seapower
A-330	A330
Desktop	desk-top
Again	-again
Maglev	mag-lev
Feedback	feed-back
Studentbody	student-body
Halfhours	half-hours
Deadbolt	dead-bolt
Subconscious	sub-conscious
Re-examined	reexamined
Inflation	inflation-
Drexel	Drexel-
Lineup	line-up
Waveform	wave-form
Darkhorse	Dark-horse
-ing	ing
Reproving	re-proving
Low	low-
Kickstart	kick-start
Single	single-
Within	with-in
Christo-	Christo
Ultraviolet	ultra-violet
UH-1H	UH1H
Firstfloor	first-floor
Babytalk	baby-talk
Aqua-lung	Aqualung
Sublease	sub-lease
-lock	lock
7J7	7J-7
Short	short-
Free-stone	Freestone
Doublecoated	double-coated
-lock	lock-
Lock	lock-
Pro-verb	proverb
Antinovel	anti-novel
Flowerbed	flower-bed
Bornagain	born-again
MiG-110	MiG110
Fforest-fach	Fforestfach
Sub-division	Subdivision
Sandstone	sand-stone
Third	-third
Downside	down-side
Bailout	bail-out
AM-386	AM386
Autopilot	auto-pilot
Re-creation	Recreation
Re-examining	reexamining
Hardline	hard-line
HH3	HH-3
Film	film-
Word-perfect	Wordperfect
Mid-life	midlife
Inter-governmental	intergovernmental
Pow-wow	powwow
Fifth	fifth-
Undersecretary	under-secretary
Takeaway	take-away
Countertenor	counter-tenor
Takeover	take-over
Grass-roots	Grassroots
Table-tops	tabletops
Lowbrow	low-brow
T-R-O-U-B-L-E	TROUBLE
BMP1	BMP-1
God-like	godlike
Boomtime	boom-time
Soundwave	sound-wave
Buyout	buy-out
Under	under-
Flywheel	fly-wheel
-hood	hood
Bolton	bolt-on
Trex	T-rex
Overrun	over-run
White-washed	whitewashed
Whitewater	white-water
Bebop	be-bop
Dun-bar	Dunbar
Money-changer	moneychanger
When	-when
AM-160	AM160
Wash-outs	washouts
Un-ethical	unethical
Take-away	takeaway
Sonin	son-in
Breastfeeding	Breast-feeding
Rightwing	Right-wing
Goldplated	gold-plated
AlliedSignal	Allied-Signal
Earthbound	earth-bound
Hairloss	hair-loss
Liverpool	Liverpool-
Crosscurrent	cross-current
Carbomb	car-bomb
Selfesteem	self-esteem
PrivatBank	Privat-Bank
Downhearted	down-hearted
Ta-ta	Tata
Beall	be-all
Antiviral	anti-viral
Government	govern-ment
Fall-out	fallout
Kyung-won	Kyungwon
Outfoxed	out-foxed
BOC	B-O-C
Cram-down	cramdown
Breastfeeding	breast-feeding
One-time	onetime
Radiotelephone	radio-telephone
Goodmorning	Good-morning
Deadbeat	dead-beat
Telemarketing	tele-marketing
Middlebrow	middle-brow
Teamwork	team-work
Needle	needle-
Moneychangers	money-changers
M1A1	M1-A1
Style	-style
Pico-	pico
Highstreet	High-street
Monk-fish	monkfish
Reeducation	re-education
Bore-hole	Borehole
Recreation	re-creation
Home-run	homerun
Sadomasochism	sado-masochism
Whistleblowing	whistle-blowing
Ape-man	apeman
Streetwise	street-wise
Tentlike	tent-like
Lifestyle	life-style
Safeworking	Safe-working
Postimpressionist	post-impressionist
Oddjobs	odd-jobs
Pacesetters	pace-setters
Yali	Ya-li
Prerevolutionary	pre-revolutionary
Freelove	free-love
Right-hand	righthand
Gate-crash	gatecrash
Mid-range	Midrange
Allround	all-round
Blackboards	black-boards
Heavensent	heaven-sent
Work-week	Workweek
Wildcat	wild-cat
Costcutter	cost-cutter
Toolmaking	tool-making
Crossmedia	cross-media
Sydney	Syd-ney
Just	-just
Statoil	Stat-oil
Codebreaker	code-breaker
Pulp	pulp-
Broad-head	Broadhead
Flat-bed	flatbed
Coinsurance	co-insurance
Short-sighted	shortsighted
Son-in-law	son-inlaw
Readjusted	re-adjusted
Northwestern	north-western
Go-on	Goon
Block-house	blockhouse
LibLab	Lib-Lab
Cofactor	co-factor
Springwater	spring-water
Reissue	re-issue
Overgrazing	Over-grazing
1930s	1930s-
HD-MAC	HDMAC
Go-go	Gogo
Chewinggum	chewing-gum
Workaholic	work-aholic
Extracts	-extracts
Northwest	north-west
Moon-lit	moonlit
Remains	-remains
Groundfloor	ground-floor
