IndigNation	indignation
Horner	HORNER
VIRTUS	Virtus
SuperCity	super-city
STRIPS	Strips
MAID	maid
Want	WANT
Merivale	MERIVALE
Wang	WANG
CANDO	can-do
HaIr	Hair
Hodder	HODDER
Basse-Terre	BASSE-TERRE
Basseterre	BASSE-TERRE
Role	ROLE
Rôle	ROLE
Cockerill	COCKERILL
Icon	ICON
HAMP	Hamp
Icos	ICOS
HaLo	Halo
BIAS	Bias
VENUS	Venus
Wars	WARS
LOEWE	Loewe
Pad	P.A.D
MoSCoW	MOSCOW
Moscow	MOSCOW
Casual	CASUAL
Rome	ROME
Albania	ALBANIA
HANE	Hane
M.A.C.H.	mach
WAsP	WASP
Wasp	WASP
Legrand	LeGrand
BSkyb	BSkyB
PAS	P.A.s
Car-Nation	Carnation
Room	ROOM
Roof	ROOF
PLANTs	Plants
PRIMES	primes
SCAMs	scams
Castle	CASTLE
Wage	WAGE
Something	SOMETHING
Wafa	WAFA
PREview	preview
North-East	NORTHEAST
Northeast	NORTHEAST
Retiree	RETIREE
MATH	math
Reverse	REVERSE
CalPERS	Calpers
S.C.A.R.S.	scars
Distributor	DISTRIBUTOR
Cha-Cha	cha-cha
Wall	WALL
Walt	WALT
ADAM12	Adam-12
Cooperative	CO-OPERATIVE
POLYGON	polygon
ENTel	Entel
MANS	mans
MAMA	mama
Co-Balt	cobalt
CoverGirl	cover-girl
S.P.I.D.E.R.	Spider
Indian	INDIAN
Theodore	THEODORE
Théodore	THEODORE
MALT	malt
MALL	mall
Vietnamese	VIETNAMESE
M.A.S.K.	mask
Wace	WACE
Maß	mass
COMES	comes
IDBS	IDBs
AllStar	All-star
MAR	mar-
MÄR	mar-
Idea	IDEA
MAPS	maps
CLIO	Clio
Filmnet	FilmNet
SACRED	Sacred
T-R-O-U-B-L-E	trouble
Synergy	SYNERGY
Rainfall	RAINFALL
Grundy	GRUNDY
SuperGun	supergun
Oyster	OYSTER
Teachers	TEACHERS
CONCORD	Concord
Irán	Iran-
Irãn	Iran-
Kroger	KROGER
CLAD	Clad
Splendid	SPLENDID
RIMS	rims
SLUDGE	Sludge
Ultra-Man	Ultraman
Second	SECOND
JARPA	Jarpa
RIOT	riot
Ibis	IBIS
RIPE	ripe
Nothing	NOTHING
RISK	risk
Jafco	JAFCO
CopyDesk	copydesk
RIFE	rife
Bridges	BRIDGES
Asala	ASALA
Alamin	Al-Amin
Up-Hill	Uphill
Boost	-Boost
Privatization	PRIVATIZATION
CoFFEE	coffee
Newmark	NewMark
City	CITY
U-N-I-T-E-D	United
FroSTed	Frosted
E-Motion	Emotion
KwaMashu	Kwamashu
A.N.I.M.A.L.	animal
Ad-Din	add-in
HAES	Haes
Saatchi	SAATCHI
Noncatholic	non-Catholic
S.T.R.I.K.E.	Strike
UNITAS	Unitas
Çine	CINE
Kalon	KALON
Tit-Bits	Titbits
ENSCO	Ensco
Cima	CIMA
R.I.D.E.	ride
Creative	CREATIVE
Whisky	WHISKY
SQUID	squid
Bliss	BLISS
Colombian	COLOMBIAN
Atlanta	ATLANTA
SIMION	Simion
INTECH	Intech
Empty	EMPTY
ChaSen	Chasen
VITAL	vital
ORBit	orbit
C-Mos	CMOs
CMOS	CMOs
Dole	DOLE
Dôle	DOLE
Cholesterol	CHOLESTEROL
Blimp	BLIMP
C-Mos	CMOS
Blind	BLIND
WindowShade	window-shade
College	COLLEGE
Crown	CROWN
Eastern	EASTERN
Still	STILL
Start-Up	startup
Exploration	EXPLORATION
Southland	SOUTHLAND
Sting	STING
LOPES	lopes
Cayman	CAYMAN
LaRoche	LAROCHE
Kaman	KAMAN
Cross	CROSS
SEMATECH	Sematech
Does	DOES
SpyCatcher	Spycatcher
ADABAS	Adabas
DeSoto	Desoto
Inter-A	Intera
Medal	MEDAL
AllStar	all-star
Fowler	FOWLER
Tele-X	telex
RedOne	redone
Hardware	HARDWARE
Semi-Pro	semi-pro
Wallace	WALLACE
Sauce	SAUCE
Counter-Attack	counter-attack
UNESCO	Unesco
NonProductive	non-productive
Tupperware	TUPPERWARE
Rooney	ROONEY
Media	MEDIA
STEMM	Stemm
DPA	D-Pa
Bradwell	BRADWELL
Gan-Shin	Ganshin
Christian	CHRISTIAN
Cliff-Hanger	cliffhanger
Clue	CLUE
IFAS	IFAs
Alternatives	ALTERNATIVES
Carpetright	CARPETRIGHT
Prout	PROUT
Mig-1	MIG-1
Subsoil	SUBSOIL
DVA	D-Va
Funny	FUNNY
Denmark	DENMARK
Clio	CLIO
DGA	D-Ga
SHISH	shish
ChecKing	checking
DMO	D-Mo
DME	D-Me
DMD	D-Md
Aram	A-Ram
Representation	REPRESENTATION
DLA	D-La
ShowTime	showtime
Harms	HARMs
Desio	DeSio
Datapoint	DATAPOINT
Pendragon	PENDRAGON
PAGES	pages
Freezing	FREEZING
Semi-Detached	semi-detached
QuickDraw	quick-draw
Di-rect	DIRECT
Direc-t	DIRECT
Direct	DIRECT
Squeez-It	Squeezit
Vickers	VICKERS
Tractor	TRACTOR
Hardy	HARDY
C.O.C.A.	CoCa
Coca	CoCa
Gmcsf	GM-CSF
Zermatt	ZERMATT
TradeMark	Trademark
Unemployment	UNEMPLOYMENT
DATA	data
BITC	Bitc
BitC	Bitc
HiTech	Hitech
Review	REVIEW
SaraLee	Saralee
BiTE	Bite
BITS	Bits
Third	THIRD
Coverage	COVERAGE
Rocé	ROCE
Stockman	STOCKMAN
Q-Max	Qmax
Rock	ROCK
LUNA	Luna
Fort-de-France	FORT-DE-FRANCE
Might	MIGHT
Road	ROAD
TEMPO	tempo
SHINE	shine
Teller	TELLER
DANK	dank
Thing	THING
Go-Between	go-between
DAMS	dams
UNIVAC	Univac
LuLu	Lulu
10x	10-X
10K	10-k
Benveniste	Ben-Veniste
Down	DOWN
Harry	HARRY
Al-Dana	Aldana
SWALEC	Swalec
WaterWorks	Waterworks
SHIPS	ships
Indonesia	INDONESIA
Mer-Man	merman
12-Meter	12-meter
Sa-Fire	Safire
Christian	-Christian
Capitalist	CAPITALIST
ManaGeR	Manager
Ordered	ORDERED
Code	CODE
Cocu	COCU
Free...	free-
FreeStyle	freestyle
Belleville	BELLEVILLE
Coal	COAL
Shrinking	SHRINKING
Theißen	Theissen
Co-Co	Coco
Vegas	VEGAS
C.O.C.A.	Coca
Viacom	VIACOM
Co-Bo	Cobo
Face-to-face	Face-to-Face
DISCiPLE	disciple
CoAD	Coad
Dial-A-Song	Dial-a-Song
NorthSide	northside
TECHNICALS	technicals
Frontrunners	Front-Runners
Green	GREEN
ColD	COLD
Cold	COLD
Cola	COLA
Beechnut	BeechNut
CatOS	Catos
AboutFace	about-face
GReAT	GREAT
Great	GREAT
Great-	GREAT
Highland	HIGHLAND
12-Metre	12-metre
Big-Hearted	bighearted
COIN	Coin
Scientology	SCIENTOLOGY
CONS	Cons
C-One	Cone
Cost	COST
Mid-City	mid-city
COPA	Copa
SIPPS	SIPPs
ARGUS	Argus
Co-RE	CORE
Core	CORE
ColD	Cold
Go-go	Go-Go
VisiCalc	Visicalc
C.O.M.A.	Coma
Cork	CORK
Delay	DeLay
CORT	Cort
CORR	Corr
Cool	COOL
Cook	COOK
Tele-X	Telex
CORI	Cori
TELES	Teles
DWARF	dwarf
COSS	Coss
Cope	COPE
COSI	Cosi
Amadeus	AMADEUS
Usual	USUAL
COPP	Copp
Deluna	DeLuna
COPE	Cope
Goodfellas	GoodFellas
CORD	Cord
C.O.R.E.	Core
CORE	Core
Co-RE	Core
Southern	SoUthern
Distance	DISTANCE
Anti-zionist	Anti-Zionist
Karlsruhe	KARLSRUHE
Infra-Red	infra-red
Evening	EVENING
Huge	HUGE
Hugo	HUGO
Rollover	ROLL-over
SeaChange	sea-change
TEMPO	Tempo
Track	TRACK
Dram	DRAM
S-CORE	score
ADSTAR	Adstar
Trace	TRACE
Tracy	TRACY
Umbrella	UMBRELLA
Flexible	FLEXIBLE
TexA.N.S.	Texans
VERITAS	Veritas
Toyota	TOYOTA
Turkey	TURKEY
Trade	TRADE
Hula	HULA
Draw	DRAW
Wide-Eyed	wide-eyed
DuBiel	Dubiel
Magazine	MAGAZINE
Writing	WRITING
Lalanne	LaLanne
Holst	HOLST
Trait	TRAIT
REC	rec-
Cocom	CoCom
SCOOP	scoop
KaNgwane	Kangwane
Continental	CONTINENTAL
Homan	HOMAN
SEVENTEEN	Seventeen
BLEU	Bleu
VECCI	Vecci
GROM	Grom
GROW	Grow
Paramount	PARAMOUNT
SuperStar	superstar
Warburg	WARBURG
LaTeX	latex
Wool	WOOL
Bolger	BOLGER
Assertion	ASSERTION
Shining	SHINING
Kmart	KMART
Trans	TRANs
Super-Pharm	Superpharm
Minor	MINOR
Drop	DROP
Delivery	DELIVERY
Laserjet	LaserJet
FALSE	false
PReVENT	prevent
MiNET	MINET
Work	WORK
California	CALIFORNIA
BlÔm	Blom
A-Plus	A-plus
L-DOPA	L-dopa
Spider-Man	Spiderman
Celltech	CELLTECH
Couture	COUTURE
Homes	HOMES
SWACO	Swaco
Tit-Bits	tit-bits
Drug	DRUG
BumperCar	bumper-car
Inroads	INROADS
Peek-A-Boo	peekaboo
Rada	RADA
Råda	RADA
Warner	WARNER
ViVe	Vive
VORPAL	Vorpal
Transatlantic	transAtlantic
Silver	SILVER
Race	RACE
Raba	RABA
Rába	RABA
TUMULt	tumult
Eynsford	-Eynsford
Mash	M-A-S-H
Flo-Rida	Florida
V.I.S.A.	Visa
Silvio	SILVIO
Officials	OFFICIALS
AARON	Aaron
AaRON	Aaron
Bo-Bo	Bobo
ZONG	Zong
ZOOM	Zoom
ZOOm	Zoom
Raju	RAJU
X-MODEM	Xmodem
XMODEM	Xmodem
STAMP	Stamp
DeForest	deforest
Arch-Bishop	archbishop
STEREO	Stereo
Raid	RAID
Karen	KAREN
TusCon	Tuscon
Duvall	DuVall
HOUSE	House
B.O.D.Y.	Body
BODY	Body
Dacoroman	Daco-Roman
Multichannel	Multi-Channel
Rafi	RAFI
Influence	INFLUENCE
Newport	NEWPORT
8-ball	8-Ball
Fossil	FOSSIL
Steel	STEEL
B.O.M.B.	Bomb
Turn-On	turn-on
P.A.N.D.A.S	pandas
PANDAS	pandas
LURCH	lurch
Column	COLUMN
BOND	Bond
Aipac	AIPAC
Entire	ENTIRE
Anti-Personnel	anti-personnel
BOLL	Boll
Norwich	NORWICH
Woman	WOMAN
BOOM	Boom
Keynote	KEYNOTE
GAZelle	Gazelle
Coffee-Mate	Coffeemate
ViEWER	VIEWER
Viewer	VIEWER
Objections	OBJECTIONS
Do-Gooders	do-gooders
Western	WESTERN
Insider	INSIDER
BOSH	Bosh
REGULAR	Regular
B.O.S.S.	Boss
BOSS	Boss
MONK	monk
International	Inter-National
Barney	BARNEY
Family	FAMILY
Uclés	UCLES
Bradford	BRADFORD
Vice-President	vice-president
C-RAM	Cram
CRAN	Cran
945P	94.5p
FLAGS	Flags
CURIE	curie
FLAIM	Flaim
Rumour	RUMOUR
Heirloom	HEIRLOOM
PRINTS	prints
NEXRAD	Nexrad
Wodehouse	WODEHOUSE
FLAME	Flame
G-force	G-Force
MOVE	move
CINDI	Cindi
Bridge	BRIDGE
MOSS	moss
MOST	most
CPAS	CPAs
MOTS	mots
GUSA	Gusa
Off-Ramp	off-ramp
Uh-Huh	Uh-huh
CANTAT-3	Cantat-3
Astro-Physics	Astrophysics
MoRT	mort
MITES	mites
Skanska	SKANSKA
FLASH	Flash
MOPE	mope
MOPS	mops
GRACE	Grace
CROP	Crop
Rare	RARE
JumpStart	jumpstart
Beech-Nut	Beechnut
Competition	COMPETITION
Sansui	SANSUI
Mills	MILLS
Rate	RATE
Cure-All	cure-all
Rank	RANK
Rebirth	Re-Birth
Rand	RAND
Prune	PRUNE
Star-K	Stark
STARS	Stars
Rans	RANs
Rape	RAPE
P-Rock	Prock
Berkshire	BERKSHIRE
Sniff	SNIFF
Christmas	CHRISTMAS
MICKEY	Mickey
Hanes	HANES
LensCrafters	Lenscrafters
Milan	MILAN
F.R.E.S.H.	fresh
Emanuel	Emanu-El
Speed-the-Plow	Speed-The-Plow
RAVE	rave
Olivetti	OLIVETTI
PISCES	Pisces
Lloyds	LLoyds
Alexandria	ALEXANDRIA
Yorkshire	YORKSHIRE
FROSTBURG	Frostburg
W.A.T.C.H	watch
Prayer	PRAYER
Black-Eyed	blackeyed
Economy	ECONOMY
Sanwa	SANWA
RANK	rank
RAND	rand
Llerena	LLerena
RAMP	ramp
Numbers	NUMBERS
RAPS	raps
NewsBreak	Newsbreak
Wine	WINE
Wind	WIND
WinG	WING
Wing	WING
Jerry	JERRY
RaRa	rara
BlackBerry	blackberry
Meißner	Meissner
North-East	northeast
Wish	WISH
Wise	WISE
RATS	rats
Wire	WIRE
MOCKINGBIRD	Mockingbird
Mocking-Bird	Mockingbird
Östmark	Ost-mark
GrADS	GRADS
SAFETY	Safety
D.I.S.C.O.	-Disco
Disco	-Disco
Waldenbooks	WaldenBooks
ANTIC	Antic
HushHush	hush-hush
Grace	GRACE
Ageing	AGEING
MIMIC	mimic
Barter	BARTER
Taylor	TAYLOR
ANTLE	Antle
GRAPE	Grape
Those	THOSE
Thorn	THORN
MUMPS	Mumps
Granville	GRANVILLE
HAFFA	Haffa
Amsterdam	AMSTERDAM
Ámsterdam	AMSTERDAM
M.I.L.K	milk
Tri-Angle	TRIANGLE
Triangle	TRIANGLE
MIME	mime
Wellcome	WELLCOME
TACOS	tacos
Nottingham	NOTTINGHAM
MIND	mind
Jo-Han	Johan
MINT	mint
MiNT	mint
S.C.I.E.N.C.E.	Science
Dunn	DUNN
Mix-Up	mix-up
Hamilton	HAMILTON
MIPS	mips
South-East	Southeast
Crime	CRIME
AssassiNation	Assassination
MicroVAX	MicroVax
GRAIN	Grain
Libyan	LIBYAN
BLACKER	blacker
M.A.C.H.	Mach
MACS	Macs
Macbeth	MacBeth
Scramble	SCRAMBLE
M.A.D.E.	Made
MADI	Madi
Plastic	PLASTIC
Inchcape	INCHCAPE
Britannic	BRITANNIC
TALLY	Tally
MAFF	Maff
Blame	BLAME
Blâme	BLAME
Cras	CRAs
MAHA	Maha
MaHa	Maha
Halma	HALMA
Miras	MIRAS
MAID	Maid
CURL	curl
K-Long	Klong
TurboJET	turbojet
Crap	CRAP
Cray	CRAY
MID	mid-
MICE	mice
MICA	mica
BioScience	Bioscience
Seattle	SEATTLE
MAAA	Maaa
Gerrard	GERRARD
Census	CENSUS
Hypo	HYPO
SATENA	Satena
Population	POPULATION
MAAN	Maan
Dukakis	DUKAKIS
TA-Lib	Talib
Ma-Ti	Mati
MATH	Math
R.A.G.E.	rage
M.A.S.K.	Mask
Deposits	DEPOSITS
Maß	Mass
FACTOR	factor
GWEN	Gwen
Nuclear	NUCLEAR
MAXX	Maxx
Smiths	SMITHS
Stuart	STUART
RAID	raid
CandyBar	candy-bar
Macaulay	MacAulay
WASTE	waste
MALL	Mall
MALT	Malt
Hide-Out	hideout
VIAG	Viag
MAKE	Make
SWEAT	Sweat
MumboJumbo	mumbo-jumbo
MANS	Mans
MINDS	minds
MANA	Mana
Ma-Na	Mana
DAYTIME	daytime
MANH	Manh
MAMI	Mami
VICE	Vice
M.A.M.E.	Mame
MAME	Mame
Physics	PHYSICS
MAMA	Mama
MAPS	Maps
RACE	race
Hanson	HANSON
GABRIELA	Gabriela
Mis-Labeled	mislabeled
D.E.V.O.L.U.T.I.O.N.	Devolution
Stage	STAGE
Staff	STAFF
Warren	WARREN
Mitsubishi	MITSUBISHI
WAVES	waves
Fun-Da-Mental	Fundamental
VEST	Vest
Repo	REPO
Nobody	NOBODY
VESA	Vesa
NOiSE	Noise
JOINT	Joint
Gephardt	GEPHARDT
Renk	RENK
Cuna	CUNA
SWAPO	Swapo
Rene	RENE
René	RENE
Fol-de-Rol	fol-de-rol
September	SEPTEMBER
BackTrack	backtrack
Stano	STANO
Cubs	CUBS
Norwest	NORWEST
BSAT	Bsat
Reid	REID
Reis	REIS
Reit	REIT
Cuba	CUBA
Stand	STAND
Arnold	ARNOLD
Stake	STAKE
Fixit	Fix-It
EMPOWER	empower
Colonel-in-Chief	colonel-in-chief
Reed	REED
Network	NETWORK
Compensation	COMPENSATION
Cuff	CUFF
ARC/Info	ARC/INFO
Arc/INFO	ARC/INFO
Arc/Info	ARC/INFO
Horse-Power	horsepower
Garankuwa	Ga-Rankuwa
Sales	SALES
Sâles	SALES
Malaysia	MALAYSIA
Black	BLACK
Fountain	FOUNTAIN
Real	REAL
Réal	REAL
Read	READ
Know-it-all	Know-It-All
CISCO	Cisco
ASARCO	Asarco
When	WHEN
What	WHAT
Cuts	CUTS
In-Grid	Ingrid
Coolidge	COOLIDGE
Royale	ROYALE
MAGENTA	Magenta
CURL	Curl
Turner	TURNER
Salga	SALGA
Honda	HONDA
Sea-tac	Sea-Tac
Pravda	PRAVDA
BREL	Brel
BRET	Bret
BREP	Brep
Nafo	NAFO
Refused	REFUSED
Mercury	MERCURY
Black-Out	blackout
BLAST	Blast
BLATT	Blatt
CoFFEE	Coffee
BRIO	Brio
Nabe	NABE
Grass	GRASS
Warsaw	WARSAW
Nada	NADA
SCRIPT-ed	scripted
ESCOM	Escom
A.N.A.L.O.G.	analog
E-mail	E-Mail
GReAT	Great
CRYSTAL	Crystal
Chinese	CHINESE
Fan-Tan	Fantan
Without	WITHOUT
I-DEAS	ideas
IDEAS	ideas
IDeaS	ideas
IDEAL	ideal
Barrio	BARRIO
TANGO	Tango
Houston	HOUSTON
GREEN	Green
Lit	L.I.T
Grand	GRAND
Grand-	GRAND
HURT	hurt
H.U.R.L.	hurl
Navy	NAVY
Editor-In-Chief	Editor-in-chief
F.R.A.N.K.	frank
Will	WILL
TESSA	Tessa
Disco-Vision	Discovision
DiscoVision	Discovision
Zapmail	ZapMail
Wife	WIFE
ZIMM	Zimm
State	STATE
Fletcher	FLetcher
AstroTurf	Astroturf
.nato	NATO
Nass	NASS
Næss	NASS
Start	START
Scholl	SCHOLL
Nash	NASH
.name	NAME
Name	NAME
Nami	NAMI
ANSEL	Ansel
Napf	NAPF
PainkilleR	pain-killer
Persimmon	PERSIMMON
Napp	NAPP
ARBED	Arbed
ColdFusion	cold-fusion
Naib	NAIB
Door-to-door	DOOR-TO-DOOR
Pre-History	prehistory
Larosa	LaRosa
SHARP	sharp
SHARK	shark
Munich	MUNICH
Pre-labor	pre-Labor
ASADA	Asada
Customs	CUSTOMS
Illegal	ILLEGAL
Experimental	EXPERIMENTAL
Nippon	NIPPON
Full-time	Full-Time
ATCO	Atco
Buchi	BUCHI
Fair	FAIR
Mitre	MITRE
BASIC	basic
Weinstock	WEINSTOCK
Island	ISLAND
Pop-Eyes	Popeyes
LiVES	LIVES
Lives	LIVES
CoMPLEX	Complex
Precious	PRECIOUS
Lesage	LeSage
Buzz	BUZZ
Man-Made	Man-made
Face	FACE
Nest	NEST
Fada	FADA
Fact	FACT
Martin	MARTIN
IRIS	Iris
CAN	-can
Çan	-can
Dubois	DuBois
Selling	SELLING
NeWS	NEWS
News	NEWS
Annuity	ANNUITY
Consultative	CONSULTATIVE
Fahd	FAHD
NeXT	NEXT
Next	NEXT
Southeast	South-East
IRMA	Irma
-mania	MANIA
Mania	MANIA
DINKY	dinky
ASRA	Asra
ASTA	Asta
AStA	Asta
Bench-Mark	bench-mark
Senate	SENATE
ASSA	Assa
Nell	NELL
Bush	BUSH
Bust	BUST
MONGO	Mongo
Busy	BUSY
ISDA	Isda
Burt	BURT
Aetna	AETNA
UPIM	Upim
HighLife	highlife
Neil	NEIL
Bupa	BUPA
Globe	GloBE
IS-IS	Isis
Pakistan	PAKISTAN
Nepa	NEPA
STEREO	stereo
Salute	SALUTE
M-Tech	MTECH
Bowes	BOWES
ASIX	Asix
Bull	BULL
ASIS	Asis
Neco	NECO
Futures	FUTURES
Guitarist	GUITARIST
Templeton	TEMPLETON
ZELL	Zell
KARST	Karst
PurePlay	pureplay
RESOLVE	resolve
Re-Mind	remind
TAROM	Tarom
ISAR	Isar
BTEC	BTec
O-We-Go	Owego
Under	UNDER
Juan	JUAN
Haring	HARING
WAIL	wail
WAIF	waif
Miyazawa	MIYAZAWA
Bound	BOUND
WAGS	wags
WAGs	wags
WAGE	wage
B.O.D.Y.	body
BODY	body
Greenspan	GREENSPAN
DIMES	Dimes
MODELLER	modeller
Source	SOURCE
Burial	BURIAL
LightWeight	lightweight
WALK	walk
WALL	wall
BARGE	barge
AirTaxi	air-taxi
WAKE	wake
SINGERS	singers
X-ray	X-Ray
XRAY	X-Ray
SuperPower	super-power
July	JULY
Clydesdale	CLYDESDALE
Ouellette	OUELLETTE
Joint	JOINT
MS-DOS	MS-Dos
ISMA	Isma
June	JUNE
MagiC	Magic
Wonder	WONDER
ATTU	Attu
Blackboard	BLACKBOARD
Bubba	BUBBA
Devon	DEVON
WADS	wads
G.ho.st	GHOST
Ghost	GHOST
Jury	JURY
ATWA	Atwa
WACK	wack
ULTra	ultra
EgyptAir	Egyptair
Jute	JUTE
Just	JUST
WAYF	wayf
WAXY	waxy
ITeM	Item
Action	ACTION
WAYS	ways
B.O.S.S.	boss
BOSS	boss
ITIM	Itim
ATMA	Atma
Dóc	D.O.C
BUT	-but
Malindi	MALINDI
A.T.O.M	Atom
A.T.O.M.	Atom
W.A.R.	war-
WARE	ware
TRACES	traces
WANE	wane
WAND	wand
WANT	want
MOOSE	Moose
WATT	watt
BOLL	boll
Lincoln	LINCOLN
B.O.M.B.	bomb
W.A.R.S.	wars
WARS	wars
BOND	bond
WARY	wary
WASH	wash
PeRColate	percolate
WASN	wasn
W.A.S.P.	wasp
WAsP	wasp
ATEX	Atex
BOOM	boom
Tension	TENSION
USER	User
Budget	BUDGET
Cotton	COTTON
Return	RETURN
IPSO	Ipso
Chosen	CHOSEN
Moody	MOODY
Criminals	CRIMINALS
Fresh	FRESH
ASCOM	Ascom
Harkin	HARKIN
Better	BETTER
ASCII	Ascii
Sorry	SORRY
AIRES	Aires
ViEWER	viewer
Bench-Mark	Benchmark
Green-Wood	Greenwood
AViiON	Aviion
TrueBlue	true-blue
MESS	Mess
METS	Mets
Moore	MOORE
Dorothy	DOROTHY
McEwan	McEWAN
WEBS	webs
Abbey	ABBEY
MERS	Mers
Hate-Monger	hate-monger
Trivia	TRIVIA
Peace	PEACE
DEMOS	demos
Piranhas	PIRANHAS
Out	O-U-T
Committee	COMMITTEE
HAUNT	haunt
Sunday	SUNDAY
MEPS	Meps
Gerber	GERBER
WEED	weed
WEEP	weep
MENA	Mena
Maker	MAKER
MENT	Ment
Mcduck	McDuck
Keeping	KEEPING
Pageant	PAGEANT
MEKA	Meka
WEAL	weal
InterViews	Interviews
Makro	MAKRO
Tracing	TRACING
DuPont	Dupont
Solidarity	SOLIDARITY
EST	-est
TAPPI	Tappi
Petroecuador	PetroEcuador
SMACK	smack
Milton	MILTON
Elsewhere	ELSEWHERE
Drams	D-Rams
MEDA	Meda
MECO	Meco
MECA	Meca
HotSpot	hot-spot
Bangladesh	BANGLADESH
NICS	NICs
CURIE	Curie
NCUBE	nCube
DID	-did
Nier	NIER
Someday	SOMEDAY
SAGA	saga
SaGa	saga
Run-Away	runaway
NYUK	nyuk
SAFE	safe
URBI	Urbi
PostBank	Postbank
Trans-Ponder	transponder
Merit	MERIT
SACS	sacs
Nice	NICE
Nice.	NICE
BATON	baton
Aurora	AURORA
Super-Sonic	Supersonic
Money	MONEY
Nida	NIDA
ARPS	Arps
SMALL	small
SunGard	Sungard
ARSA	Arsa
Takeover	TAKEOVER
ARTS	Arts
ARts	Arts
STILLBORN	stillborn
Electronic	ELECTRONIC
Fail-safe	Fail-Safe
Consolidation	CONSOLIDATION
Mamas	MAMAS
S-Mart	smart
S.M.A.R.T.	smart
SMart	smart
ARIS	Aris
Month	MONTH
Thompson	THOMPSON
ARIZ	Ariz
Non-objective	Non-Objective
Nonobjective	Non-Objective
Big-Hearted	big-hearted
Peabody	PEABODY
English-Only	English-only
Franchise	FRANCHISE
BIOMED	BioMed
AraB	Arab
Jack-O	jack-o
Commerzbank	COMMERZBANK
ViewPoint	viewpoint
Crest	CREST
Malta	MALTA
ARCO	Arco
Variable	VARIABLE
Ar-Ar	Arar
Conundrum	CONUNDRUM
Antonio	ANtonio
ARBA	Arba
STONe	stone-
DELOS	delos
CLIPS	clips
Murray	MURRAY
Jerusalem	JERUSALEM
Jérusalem	JERUSALEM
Marks	MARKS
Nevada	NEVADA
HeadCount	head-count
Insight	InSight
ECHO	Echo
Columbus	COLUMBUS
Vice-Chancellor	vice-chancellor
InAlienable	inalienable
BAMBI	Bambi
W.I.T.C.H.	witch
Bide-a-Wee	Bide-A-Wee
Smartphone	SmartPhone
Returns	RETURNS
March	MARCH
TRINITY	trinity
Demise	DEMISE
Horsham	HORSHAM
Macintosh	MACINTOSH
Satellite	SATELLITE
SEVEN	Seven
Weather	WEATHER
Equal	EQUAL
Migs	MiGs
Avair	AVAir
Mario	MARIO
Question	QUESTION
Marie	MARIE
Marié	MARIE
Âmudaryâ	Amu-Darya
ECU	Ecu-
MI-8	Mi-8
MI8	Mi-8
Shevardnadze	SHEVARDNADZE
Million-dollar	Million-Dollar
Milliondollar	Million-Dollar
Verification	VERIFICATION
FarmHouse	Farmhouse
DORMA	Dorma
Pist-on	PISTON
Pist.On	PISTON
Piston	PISTON
Knockout	KNOCKOUT
HealthSouth	Healthsouth
Saab	SAAB
Electricity	ELECTRICITY
Triton	TRITON
Tritón	TRITON
State	-State
Columbia	COLUMBIA
Livestock	Live-Stock
Hell-Fire	Hellfire
California	CAlifornia
Hispanic	HISPANIC
Feat	FEAT
Nira	NIRA
Fear	FEAR
-Zan-	Zan-
ZAN	Zan-
DEEDS	Deeds
Saif	SAIF
Mix-Up	mixup
Glass	GLASS
Pompano	POMPANO
Safe	SAFE
Feed	FEED
Hudson	HUDSON
Advice	ADVICE
Metal	METAL
FOREST	forest-
Sage	SAGE
SaGa	SAGA
Saga	SAGA
HiRISE	Hi-Rise
Korean	KOREAN
EBER	Eber
Ecuador	ECUADOR
SAVILLE	Saville
Fdic	FDIC
Général	GENERAL
Rupert	RUPERT
Non-Stop	nonstop
NonStop	nonstop
Hathaway	HATHAWAY
HotDog	hotdog
Qualcomm	QualComm
Burmah	BURMAH
Table	TABLE
BANK	bank-
MicroStation	Microstation
Harley	HARLEY
Management	MANAGEMENT
Generic	GENERIC
Clarence	CLARENCE
MICO	Mico
Nelson	NELSON
MICE	Mice
MICA	Mica
CLOCK	clock
Biathlon	BIATHLON
Gerard	GERARD
EnLighten	enlighten
Metro	METRO
CAVEman	Caveman
Kazakhstan	KAZAKHSTAN
WVA	W.Va
Re-Volts	revolts
EAST	East
TaxCut	tax-cut
SEAlink	Sealink
That	-That
Anti-Federalism	anti-federalism
Germany	GERMANY
Germans	GERMANS
EDICT	edict
Library	LIBRARY
Inter-generational	INTERGENERATIONAL
Intergenerational	INTERGENERATIONAL
Position	POSITION
Affiliation	AFFILIATION
Union	UNION
Unión	UNION
Gerald	GERALD
Slap-Happy	slap-happy
Marsh	MARSH
P.A.N.D.A.S	Pandas
PANDAS	Pandas
CLOUD	cloud
Marta	MARTA
Jiu-Jitsu	jiujitsu
Mach-O	Macho
WIRES	wires
Macquarie	MACQUARIE
EBAN	Eban
CHERUB	cherub
Textile	TEXTILE
ITSO	Itso
JIFFY	Jiffy
Harold	HAROLD
BiTE	bite
Touché	TOUCHE
Eduardo	EDUARDO
Donna	DONNA
Chock-A-Block	chock-a-block
UNON	Unon
Push-button	PUSH-BUTTON
Pushbutton	PUSH-BUTTON
EADS	Eads
BIOS	bios
ReCharge	recharge
EACH	Each
Daddy	DADDY
BIND	bind
EARN	Earn
EARS	Ears
Maaß	Maass
Tromsoe	TROMSOE
MASSPORT	Massport
Heated	HEATED
S.E.X.	s-e-x
